symptom_text,risk_tier
my son breathing trouble and fainting,ER_NOW
sudden blood vomiting and weakness,ER_NOW
my daughter sudden chest pain,ER_NOW
cannot breathe please come fast,ER_NOW
my mother suddenly fainted,ER_NOW
stomach pain with continuous vomiting,ER_NOW
my husband chest pain with breathing issue,ER_NOW
fainting keeps happening,ER_NOW
severe breathing problem,ER_NOW
my grandfather vomiting blood,ER_NOW
my son chest pain with fainting,ER_NOW
husband cannot breathe,ER_NOW
repeated fainting,ER_NOW
my father continuous vomiting,ER_NOW
sudden chest pain,ER_NOW
my wife breathing difficulty,ER_NOW
chest pain since last night,ER_NOW
my mother suddenly fell down,ER_NOW
son continuous vomiting,ER_NOW
chest pain and fainting,ER_NOW
severe breathing trouble,ER_NOW
my grandmother has chest pain,ER_NOW
blood vomiting badly,ER_NOW
my daughter breathing difficulty,ER_NOW
husband chest pain,ER_NOW
sudden vomiting,ER_NOW
severe chest pain very painful,ER_NOW
I fainted suddenly,ER_NOW
my father breathing trouble,ER_NOW
stomach pain with fainting,ER_NOW
my sister sudden chest pain,ER_NOW
vomiting non stop,ER_NOW
breathing difficulty with fainting,ER_NOW
my grandfather sudden fainting,ER_NOW
fainting coming,ER_NOW
my mother suddenly fell unconscious,ER_NOW
my father chest pain since yesterday,ER_NOW
my daughter has chest pain,ER_NOW
vomiting a lot,ER_NOW
my husband fainted,ER_NOW
blood vomiting,ER_NOW
sudden breathing trouble,ER_NOW
my daughter repeated fainting,ER_NOW
my grandmother vomiting blood,ER_NOW
fainting again and again,ER_NOW
my son severe chest pain,ER_NOW
suddenly fell down,ER_NOW
my father sudden breathing trouble,ER_NOW
my wife fainted,ER_NOW
my mother sudden fainting,ER_NOW
my son continuous vomiting,ER_NOW
fainting,ER_NOW
cannot breathe properly,ER_NOW
my father chest pain and fainted,ER_NOW
my wife repeated fainting,ER_NOW
husband very bad pain,ER_NOW
chest pain since yesterday,ER_NOW
my mother vomiting blood,ER_NOW
my son sudden chest pain,ER_NOW
severe chest pain come now,ER_NOW
my baby suddenly cannot breathe since yesterday night please come fast,ER_NOW
my pregnant wife has severe chest pain,ER_NOW
the baby is having continuous vomiting and fainting,ER_NOW
my child is not breathing properly,ER_NOW
severe breathing difficulty for my baby,ER_NOW
my pregnant wife fainted suddenly while cooking,ER_NOW
baby high fever with fits since morning,ER_NOW
my daughter continuous crying and vomiting nonstop,ER_NOW
pregnant wife severe abdominal pain and bleeding,ER_NOW
my baby cannot breathe properly please come fast,ER_NOW
cheast pain in my pregnant wife,ER_NOW
the child fainted suddenly no reason,ER_NOW
my baby has high fever and body stiff,ER_NOW
my pregnant wife is having severe vomiting since yesterday night,ER_NOW
baby not responding and breathing fast,ER_NOW
my son continuous fits with high fever,ER_NOW
pregnant woman severe chest pain and dizziness,ER_NOW
my baby suddenly unconscious please help,ER_NOW
my daughter nonstop crying with breathing problem,ER_NOW
my pregnant wife has heavy bleeding since last night,ER_NOW
baby vomiting blood continuously,ER_NOW
severe brething difficulty my child,ER_NOW
my pregnant wife fainted twice today,ER_NOW
the baby has high fever and seizures,ER_NOW
my son cannot breathe since evening,ER_NOW
pregnant wife severe headache and vision blur,ER_NOW
my baby continuous vomiting no stop,ER_NOW
child high fever with neck stiff,ER_NOW
my pregnant wife chest pain suddenly,ER_NOW
baby not breathing well since morning,ER_NOW
my daughter fainted after crying a lot,ER_NOW
severe cheast pain for pregnant wife,ER_NOW
my baby has fits and high fever,ER_NOW
pregnant wife heavy vomiting and pain,ER_NOW
the child breathing very fast and weak,ER_NOW
my son sudden fainting episode,ER_NOW
baby continuous cry with breathing issue,ER_NOW
my pregnant wife severe back pain and spotting,ER_NOW
my baby unconscious since last hour,ER_NOW
high fever and vomiting my child,ER_NOW
pregnant wife cannot breathe properly,ER_NOW
my daughter nonstop vomiting and fainted,ER_NOW
baby severe dehydration and not responding,ER_NOW
my pregnant wife sudden labor pain too early,ER_NOW
child breathing difficulty no fever but serious,ER_NOW
my baby has high fever and body turning blue,ER_NOW
my son continuous fits please come fast,ER_NOW
pregnant wife severe chest heaviness,ER_NOW
the baby fainted suddenly while feeding,ER_NOW
my child has severe chest pain,ER_NOW
my pregnant wife vomiting blood,ER_NOW
baby not breathing normal since night,ER_NOW
my daughter high fever with continuous cry,ER_NOW
severe brething problem in my baby,ER_NOW
my pregnant wife fainted while walking,ER_NOW
the child has fits and high kaichal,ER_NOW
my baby continuous vomiting and lethargic,ER_NOW
pregnant wife severe abdominal pain,ER_NOW
my son breathing difficulty suddenly,ER_NOW
baby high fever and stiff body,ER_NOW
my pregnant wife heavy bleeding please rush,ER_NOW
child fainted no fever but weak,ER_NOW
my baby not responding to voice,ER_NOW
my daughter severe chest pain,ER_NOW
pregnant wife sudden fainting attack,ER_NOW
the baby has breathing problem since yesterday,ER_NOW
my pregnant wife cannot breathe well,ER_NOW
baby vomiting nonstop since morning,ER_NOW
my son high fever with seizure,ER_NOW
severe cheast pain pregnant wife,ER_NOW
my baby fainted after continuous cry,ER_NOW
child not breathing properly,ER_NOW
my pregnant wife severe headache vomiting,ER_NOW
the baby has high fever and fits,ER_NOW
my daughter breathing fast and weak,ER_NOW
pregnant wife continuous vomiting,ER_NOW
my baby sudden unconscious,ER_NOW
severe breathing issue my child,ER_NOW
my pregnant wife chest pain since night,ER_NOW
baby high fever body shivering,ER_NOW
my son fainted suddenly,ER_NOW
the child continuous vomiting blood,ER_NOW
my pregnant wife severe pain and bleeding,ER_NOW
my baby not breathing easy,ER_NOW
child high fever and neck pain,ER_NOW
my daughter sudden fainting,ER_NOW
pregnant wife breathing difficulty,ER_NOW
baby continuous cry and high fever,ER_NOW
my pregnant wife fainted today morning,ER_NOW
my child severe chest pain,ER_NOW
the baby has fits since yesterday night,ER_NOW
my son breathing problem please come fast,ER_NOW
pregnant wife heavy bleeding,ER_NOW
baby not responding high fever,ER_NOW
my daughter nonstop vomiting,ER_NOW
severe brething difficulty pregnant,ER_NOW
my baby fainted while breast feeding,ER_NOW
child high fever continuous cry,ER_NOW
my pregnant wife severe vomiting,ER_NOW
the baby sudden chest pain,ER_NOW
my child unconscious after fever,ER_NOW
pregnant wife fainting and pain,ER_NOW
my baby breathing very fast,ER_NOW
my son severe fits,ER_NOW
baby high fever and vomiting,ER_NOW
my pregnant wife cannot walk due to pain,ER_NOW
child not breathing well,ER_NOW
my daughter fainted suddenly,ER_NOW
pregnant wife cheast heaviness,ER_NOW
the baby continuous seizure,ER_NOW
my baby high fever since last night,ER_NOW
my pregnant wife severe abdominal issue,ER_NOW
child breathing difficulty,ER_NOW
my son vomiting blood,ER_NOW
baby not responding please rush,ER_NOW
my pregnant wife sudden fainting,ER_NOW
my daughter high fever fits,ER_NOW
severe chest pain my child,ER_NOW
the baby cannot breathe,ER_NOW
pregnant wife heavy vomiting since morning,ER_NOW
my baby fainted after crying,ER_NOW
my child breathing problem no fever,ER_NOW
my pregnant wife chest pain bad,ER_NOW
baby high fever body blue,ER_NOW
my son continuous cry and weak,ER_NOW
pregnant wife severe pain,ER_NOW
the baby fits and fever,ER_NOW
my daughter not breathing normal,ER_NOW
my pregnant wife fainted twice,ER_NOW
baby severe vomiting,ER_NOW
my child high fever unconscious,ER_NOW
pregnant wife brething difficulty,ER_NOW
my baby chest pain sudden,ER_NOW
my son fainting episode,ER_NOW
the baby continuous vomiting,ER_NOW
my pregnant wife bleeding heavy,ER_NOW
child severe breathing issue,ER_NOW
my baby high fever seizure,ER_NOW
my daughter sudden mayakkam,ER_NOW
pregnant wife severe headache,ER_NOW
baby not breathing since night,ER_NOW
my child fainted while playing,ER_NOW
my pregnant wife vomiting nonstop,ER_NOW
the baby high fever stiff,ER_NOW
my son chest pain severe,ER_NOW
baby breathing fast and cry,ER_NOW
pregnant wife fainting,ER_NOW
my baby continuous fits,ER_NOW
child not responding,ER_NOW
my pregnant wife pain and bleed,ER_NOW
the baby sudden unconscious,ER_NOW
my child breathing difficulty,ER_NOW
my baby high fever since yesterday,ER_NOW
pregnant wife severe chest pain,ER_NOW
my son fainted,ER_NOW
baby vomiting blood,ER_NOW
my pregnant wife cannot breathe,ER_NOW
my daughter continuous cry,ER_NOW
the child high fever fits,ER_NOW
baby not breathing properly,ER_NOW
my pregnant wife sudden pain,ER_NOW
my baby severe vomiting,ER_NOW
child fainted suddenly,ER_NOW
pregnant wife bleeding and pain,ER_NOW
my son breathing problem,ER_NOW
the baby high fever and cry,ER_NOW
my daughter unconscious,ER_NOW
my pregnant wife chest heaviness,ER_NOW
baby fits,ER_NOW
pregnant wife fainting attack,ER_NOW
my baby not responding,ER_NOW
my son high fever vomiting,ER_NOW
the baby breathing difficulty,ER_NOW
child sudden fainting,ER_NOW
baby high fever seizure,ER_NOW
my daughter chest pain,ER_NOW
my baby fainted,ER_NOW
my child not breathing well,ER_NOW
my pregnant wife pain sudden,ER_NOW
the baby continuous cry high fever,ER_NOW
my son vomiting nonstop,ER_NOW
baby severe breathing issue,ER_NOW
pregnant wife fainted,ER_NOW
my baby chest pain,ER_NOW
child unconscious,ER_NOW
my pregnant wife brething problem,ER_NOW
my son severe pain,ER_NOW
baby not responding,ER_NOW
my pregnant wife heavy vomiting,ER_NOW
my child fainted suddenly,ER_NOW
my baby breathing difficulty,ER_NOW
the child high fever,ER_NOW
my pregnant wife fainting,ER_NOW
baby continuous seizure,ER_NOW
my son not breathing normal,ER_NOW
my grandfather suddenly cannot breathe since yesterday night please come fast,ER_NOW
grandma has severe chest pain,ER_NOW
my husband fainted suddenly while sitting,ER_NOW
elderly father breathing difficulty no fever,ER_NOW
my grandma cheast pain and high BP,ER_NOW
severe brething problem,ER_NOW
grandfather fainted,ER_NOW
my old father has continuous vomiting since morning,ER_NOW
chest pain for grandpa,ER_NOW
my grandmother suddenly collapsed,ER_NOW
grandpa has sugar issues now cant breath properly,ER_NOW
fainted suddenly,ER_NOW
my thatha severe chest pain and weakness,ER_NOW
grandma breathing very difficult,ER_NOW
elderly patient chest pain high BP,ER_NOW
my grandfather vomitting blood please come,ER_NOW
grandma fainted while walking,ER_NOW
my father has chest pain since last night,ER_NOW
grandfather sudden fainting with BP high,ER_NOW
my paati continuous vomiting,ER_NOW
breathing difficulty in elderly man,ER_NOW
grandma collapsed suddenly,ER_NOW
my old father cheast heaviness and sugar high,ER_NOW
grandfather has severe breathing issue,ER_NOW
chest pain grandpa,ER_NOW
my grandmother not able to breath properly,ER_NOW
sudden fainting in thatha,ER_NOW
elderly mother vomitting non stop,ER_NOW
severe cheast pain,ER_NOW
my grandpa fainted with joint pain history,ER_NOW
grandma breathing problem since evening,ER_NOW
father has high BP now chest pain,ER_NOW
cannot breath,ER_NOW
my grandmother sudden collapse,ER_NOW
grandpa vomitting continuously,ER_NOW
my thatha fainted suddenly please help,ER_NOW
chest pain in elderly,ER_NOW
grandma has sugar and now fainting,ER_NOW
brething problem grandpa,ER_NOW
grandmother collapsed at home,ER_NOW
fainted while eating,ER_NOW
my old paati vomitting blood,ER_NOW
chest pain high BP,ER_NOW
grandfather cannot breathe properly,ER_NOW
my grandma severe chest heaviness,ER_NOW
elderly father breathing very hard,ER_NOW
grandpa has continuous vomiting,ER_NOW
cheast pain since morning,ER_NOW
my grandfather fainted with weakness,ER_NOW
grandmother difficulty in breathing,ER_NOW
severe chest pain grandpa,ER_NOW
my paati collapsed suddenly,ER_NOW
fainting episode in elderly,ER_NOW
grandfather high sugar now not breathing well,ER_NOW
chest pain,ER_NOW
my father vomitting non stop since night,ER_NOW
grandma sudden breathing issue,ER_NOW
elderly man fainted,ER_NOW
my grandmother chest pain and BP high,ER_NOW
grandpa collapsed,ER_NOW
severe vomitting,ER_NOW
my thatha cannot breath,ER_NOW
chest pain in grandma,ER_NOW
father sudden fainting,ER_NOW
grandmother has severe breathing problem,ER_NOW
fainted suddenly grandpa,ER_NOW
my old father cheast pain,ER_NOW
continuous vomiting grandma,ER_NOW
elderly breathing difficulty high BP,ER_NOW
grandpa severe chest pain,ER_NOW
my paati fainted while talking,ER_NOW
grandmother vomitting a lot,ER_NOW
my grandfather difficulty breathing since yesterday,ER_NOW
sudden collapse grandma,ER_NOW
severe cheast pain elderly,ER_NOW
my father has fainted,ER_NOW
brething very hard grandpa,ER_NOW
grandma high sugar now chest pain,ER_NOW
elderly patient severe vomiting,ER_NOW
my thatha chest pain please come fast,ER_NOW
grandfather not able to breathe,ER_NOW
my grandmother sudden fainting,ER_NOW
continuous vomitting grandpa,ER_NOW
breathing problem in paati,ER_NOW
my old father collapsed suddenly,ER_NOW
severe chest pain grandma,ER_NOW
grandpa fainted with BP issue,ER_NOW
cannot breath since morning,ER_NOW
my paati has chest heaviness,ER_NOW
elderly man breathing difficulty,ER_NOW
fainting episode,ER_NOW
grandmother vomitting blood,ER_NOW
cheast pain grandpa,ER_NOW
my grandma sudden collapse,ER_NOW
father high BP now fainted,ER_NOW
severe vomiting,ER_NOW
grandpa chest pain and weakness,ER_NOW
my thatha cannot breathe,ER_NOW
grandmother fainted suddenly,ER_NOW
chest pain elderly,ER_NOW
brething problem,ER_NOW
grandma severe chest pain,ER_NOW
fainted while walking grandpa,ER_NOW
my paati breathing difficulty high sugar,ER_NOW
elderly collapse,ER_NOW
grandfather vomitting non stop,ER_NOW
my grandmother not breathing well,ER_NOW
sudden fainting thatha,ER_NOW
my old father fainted,ER_NOW
breathing issue,ER_NOW
grandpa severe chest heaviness,ER_NOW
my paati collapsed,ER_NOW
fainting with high BP,ER_NOW
elderly chest pain,ER_NOW
my grandfather difficulty in breathing,ER_NOW
grandmother vomitting continuously,ER_NOW
cheast pain,ER_NOW
my father sudden collapse,ER_NOW
severe breathing difficulty grandpa,ER_NOW
fainted grandma,ER_NOW
my thatha chest pain since night,ER_NOW
cannot breathe elderly,ER_NOW
grandpa high sugar fainting,ER_NOW
my grandmother breathing problem,ER_NOW
chest pain and fainted,ER_NOW
grandfather collapsed suddenly,ER_NOW
my paati severe chest pain,ER_NOW
brething hard,ER_NOW
elderly man vomitting blood,ER_NOW
fainting episode grandpa,ER_NOW
my father chest pain high BP,ER_NOW
grandma cannot breathe,ER_NOW
my grandfather fainted,ER_NOW
continuous vomiting thatha,ER_NOW
breathing difficulty grandma,ER_NOW
chest pain elderly father,ER_NOW
my paati sudden fainting,ER_NOW
grandpa severe breathing issue,ER_NOW
my grandmother cheast pain,ER_NOW
elderly vomiting non stop,ER_NOW
my thatha collapsed,ER_NOW
cannot breath properly grandma,ER_NOW
my father breathing difficulty,ER_NOW
fainting with weakness,ER_NOW
grandmother high BP chest pain,ER_NOW
my grandpa vomitting since yesterday,ER_NOW
severe brething problem paati,ER_NOW
elderly fainted,ER_NOW
grandfather chest pain,ER_NOW
my father not breathing well,ER_NOW
cheast heaviness grandma,ER_NOW
fainted thatha,ER_NOW
severe chest pain elderly,ER_NOW
my paati breathing very difficult,ER_NOW
grandpa collapsed at home,ER_NOW
my old father vomitting blood,ER_NOW
grandmother severe chest pain,ER_NOW
my grandfather high sugar now fainted,ER_NOW
elderly chest pain and vomiting,ER_NOW
my thatha sudden breathing issue,ER_NOW
severe vomitting grandpa,ER_NOW
my paati fainted while sitting,ER_NOW
my father severe chest pain since morning,ER_NOW
grandfather breathing difficulty,ER_NOW
elderly man continuous vomiting,ER_NOW
my grandmother cheast pain high BP,ER_NOW
cannot breath properly,ER_NOW
grandpa sudden fainting,ER_NOW
severe chest pain thatha,ER_NOW
my old father collapsed,ER_NOW
breathing very hard grandma,ER_NOW
vomitting non stop,ER_NOW
my paati chest pain,ER_NOW
grandfather fainted with sugar issue,ER_NOW
my grandmother sudden collapse please come fast,ER_NOW
my father suddenly cannot breathe please come fast,ER_NOW
severe chest pain for 3 days,ER_NOW
my husband fainted suddenly while working,ER_NOW
no fever but the baby is not breathing properly since morning,ER_NOW
my wife has dengue with heavy bleeding and high fever,ER_NOW
snake bite on leg swelling badly and fainting,ER_NOW
continuous vomiting after pesticide exposure,ER_NOW
my son working in rain got malaria fever and chest pain,ER_NOW
cannot breathe properly since yesterday night,ER_NOW
severe cheast pain and dizzyness,ER_NOW
my mother fainted after snake bite,ER_NOW
breathing difficulty no fever but very serious,ER_NOW
pesticide spray caused nonstop vomiting,ER_NOW
dengue symptoms with bleeding gums and weakness,ER_NOW
my father sudden chest pain while farming,ER_NOW
fainted twice today please come,ER_NOW
my husband malaria high fever and fainting,ER_NOW
snake bite swelling and cannot walk,ER_NOW
continuous vomitting since morning,ER_NOW
no fever but severe breathing problem,ER_NOW
my daughter got dengue very severe,ER_NOW
pesticide exposure causing dizziness and vomiting,ER_NOW
my son chest pain after working in rain,ER_NOW
sudden fainting while in field,ER_NOW
severe brething difficulty for 2 days,ER_NOW
my wife snake bite on hand swelling fast,ER_NOW
high fever malaria and chest tight,ER_NOW
continuous vomiting after farm work,ER_NOW
dengue bleeding nose and high fever,ER_NOW
my mother fainted suddenly,ER_NOW
severe chest pain since last night,ER_NOW
snake bite causing severe pain and swelling,ER_NOW
pesticide made my husband very dizzy,ER_NOW
no fever but moochu problem very bad,ER_NOW
my son breathing issue after rain work,ER_NOW
fainted after pesticide contact,ER_NOW
my daughter severe dengue symptoms,ER_NOW
chest pain and cannot breathe,ER_NOW
my husband malaria attack very serious,ER_NOW
snake bite please come fast,ER_NOW
continuous vomitting and weakness,ER_NOW
severe cheast pain suddenly,ER_NOW
my father working in rain got fever and fainted,ER_NOW
breathing difficulty no fever,ER_NOW
pesticide exposure nonstop vomiting,ER_NOW
my wife dengue with bleeding,ER_NOW
fainted twice in one hour,ER_NOW
severe chest pain my son,ER_NOW
snake bite leg swollen badly,ER_NOW
my mother cannot breathe since yesterday,ER_NOW
malaria high fever and vomiting,ER_NOW
sudden fainting in farm,ER_NOW
no fever but severe breathing issue,ER_NOW
my husband chest pain after pesticide,ER_NOW
dengue symptoms bleeding and fever,ER_NOW
continuous vomiting please help,ER_NOW
my daughter snake bite urgent,ER_NOW
severe cheast pain since morning,ER_NOW
my father fainted after rain work,ER_NOW
pesticide caused severe reaction,ER_NOW
my son malaria fever very high,ER_NOW
snake bite swelling and pain,ER_NOW
no fever but cannot breathe well,ER_NOW
my wife sudden chest pain,ER_NOW
dengue with low platelets emergency,ER_NOW
fainted while working in field,ER_NOW
continuous vomitting for hours,ER_NOW
my mother breathing difficulty,ER_NOW
severe chest pain and dizziness,ER_NOW
snake bite on foot very bad,ER_NOW
my husband pesticide exposure bad,ER_NOW
malaria attack with fainting,ER_NOW
sudden cannot breathe,ER_NOW
my daughter chest pain severe,ER_NOW
fainted after snake bite,ER_NOW
breathing problem since last night,ER_NOW
my father vomiting continuously,ER_NOW
severe cheast pain no fever,ER_NOW
pesticide made me dizzy and vomit,ER_NOW
my son fainted in rain,ER_NOW
snake bite urgent hospital,ER_NOW
continuous vomiting my wife,ER_NOW
no fever but moochu kashdam,ER_NOW
my mother dengue severe,ER_NOW
chest pain sudden very bad,ER_NOW
malaria high fever fainted,ER_NOW
my husband breathing difficulty,ER_NOW
snake bite leg blackish,ER_NOW
severe chest pain my daughter,ER_NOW
pesticide exposure reaction bad,ER_NOW
my father cannot breathe,ER_NOW
dengue with heavy bleeding,ER_NOW
continuous vomitting since yesterday,ER_NOW
my son chest pain after work,ER_NOW
snake bite swelling fast,ER_NOW
my wife fainted suddenly,ER_NOW
malaria fever and chest pain,ER_NOW
severe cheast pain emergency,ER_NOW
my mother pesticide vomiting,ER_NOW
no fever but cannot breathe,ER_NOW
my daughter snake bite,ER_NOW
dengue symptoms very serious,ER_NOW
fainted in the field,ER_NOW
continuous vomiting my husband,ER_NOW
chest pain since morning,ER_NOW
my father breathing issue,ER_NOW
severe chest pain and fainting,ER_NOW
pesticide caused dizziness,ER_NOW
my son malaria attack,ER_NOW
no fever but severe pain chest,ER_NOW
my wife cannot breathe properly,ER_NOW
dengue bleeding nose,ER_NOW
fainted after rain work,ER_NOW
continuous vomitting bad,ER_NOW
my mother chest pain sudden,ER_NOW
snake bite very painful,ER_NOW
breathing difficulty my daughter,ER_NOW
pesticide exposure emergency,ER_NOW
my father dengue high fever,ER_NOW
malaria with vomiting,ER_NOW
cannot breathe since night,ER_NOW
my wife breathing problem,ER_NOW
dengue severe case,ER_NOW
my mother snake bite,ER_NOW
pesticide reaction bad,ER_NOW
my daughter fainted,ER_NOW
my husband malaria,ER_NOW
chest pain emergency,ER_NOW
continuous vomitting,ER_NOW
fainted in farm,ER_NOW
my son pesticide exposure,ER_NOW
my wife chest pain,ER_NOW
malaria high fever,ER_NOW
my mother fainted,ER_NOW
my daughter dengue,ER_NOW
breathing problem,ER_NOW
severe chest pain my father,ER_NOW
pesticide bad reaction,ER_NOW
my husband snake bite,ER_NOW
no fever but moochu issue,ER_NOW
my son chest pain,ER_NOW
my wife malaria,ER_NOW
my mother chest pain,ER_NOW
my father pesticide,ER_NOW
my daughter cannot breathe,ER_NOW
malaria attack,ER_NOW
chest pain severe,ER_NOW
my son breathing issue,ER_NOW
pesticide exposure,ER_NOW
my wife dengue,ER_NOW
no fever but chest pain,ER_NOW
malaria fever,ER_NOW
my father vomitting,ER_NOW
my husband chest pain,ER_NOW
dengue symptoms,ER_NOW
my son cannot breathe,ER_NOW
my mother malaria,ER_NOW
my father breathing problem,ER_NOW
my husband pesticide,ER_NOW
my son snake bite,ER_NOW
malaria high,ER_NOW
my wife vomitting,ER_NOW
my mother breathing issue,ER_NOW
my father dengue,ER_NOW
pesticide bad,ER_NOW
my son malaria,ER_NOW
my wife cannot breathe,ER_NOW
my daughter breathing problem,ER_NOW
malaria,ER_NOW
my son pesticide,ER_NOW
no fever but moochu,ER_NOW
my father snake bite,ER_NOW
my husband cannot breathe,ER_NOW
my son dengue,ER_NOW
my husband dengue,ER_NOW
enga ammaku rendu naala high kaichal marundhu kudichum kekala,CLINIC_24H
en payyanuku vayiru vali romba irukku,CLINIC_24H
vayithu pokku continuous,CLINIC_24H
enga appaku thala vali and fever,CLINIC_24H
kaiyila cut aagiduchu ratham varuthu,CLINIC_24H
high juram 2 days ah,CLINIC_24H
en pondatiku loose motion and stomach pain,CLINIC_24H
thala vali romba,CLINIC_24H
vayiru vali severe illa but continuous,CLINIC_24H
en payyan body pain and mild fever,CLINIC_24H
enga thathaku nethu irundhu kaichal varuthu marundhu saptum control aagala eppo varanum,CLINIC_24H
en ponnuku vayithu vali and vomiting twice,CLINIC_24H
loose stools 4 times today,CLINIC_24H
enga ammaku kai cut panni ratham,CLINIC_24H
high fever since yesterday,CLINIC_24H
vayiru vali romba irukku doctor ku poganum,CLINIC_24H
thala vali and body pain,CLINIC_24H
en veetukararukku mild stomach upset,CLINIC_24H
kaichal and loose motion,CLINIC_24H
enga appaku thala vali severe ah illa,CLINIC_24H
fever 3 days,CLINIC_24H
en payyanuku vayiru vali,CLINIC_24H
loose motion repeat ah,CLINIC_24H
mild cut in leg,CLINIC_24H
enga amma nethu irundhu juram and vomiting,CLINIC_24H
en husband stomach pain and loose stools,CLINIC_24H
high kaichal but moochu sari,CLINIC_24H
vayithu pokku 5 times,CLINIC_24H
enga ponnu kaiyila cut,CLINIC_24H
thala vali and fever,CLINIC_24H
en payyan body full ah pain,CLINIC_24H
stomach vali since morning,CLINIC_24H
loose motion and weakness,CLINIC_24H
kaichal varuthu marundhu kekala,CLINIC_24H
enga thatha mild fever and cough,CLINIC_24H
vayiru vali romba illa but varuthu,CLINIC_24H
en pondati thala vali,CLINIC_24H
cut in hand ratham varuthu,CLINIC_24H
high juram 2 naal,CLINIC_24H
loose stools continuous,CLINIC_24H
enga appaku nethu rathiri irundhu kaichal and thala vali romba irukku eppo doctor ku poganum,CLINIC_24H
en payyanuku vayiru vali and 4 times loose motion,CLINIC_24H
enga ammaku mild cut but ratham stop aagala,CLINIC_24H
high fever marundhu saptum control illa,CLINIC_24H
stomach pain and vomiting,CLINIC_24H
thala vali romba varuthu,CLINIC_24H
en veetukararukku body pain and low fever,CLINIC_24H
vayithu pokku since yesterday,CLINIC_24H
kai cut aagiduchu,CLINIC_24H
enga ponnu kaichal and loose motion,CLINIC_24H
thala vali and vomiting,CLINIC_24H
en husband fever 3 days,CLINIC_24H
vayiru vali ippo dhaan start,CLINIC_24H
loose motion repeat,CLINIC_24H
mild stomach upset,CLINIC_24H
enga amma high juram,CLINIC_24H
en payyan thala vali severe,CLINIC_24H
body pain full ah,CLINIC_24H
kaichal varuthu,CLINIC_24H
vayithu vali,CLINIC_24H
loose stools,CLINIC_24H
enga thathaku cut in leg,CLINIC_24H
fever and body pain,CLINIC_24H
en pondatiku thala vali romba,CLINIC_24H
vayiru vali and loose motion,CLINIC_24H
high kaichal since 2 days,CLINIC_24H
stomach pain,CLINIC_24H
en payyan loose motion 3 times,CLINIC_24H
enga appaku juram and cough,CLINIC_24H
kaiyila ratham varuthu cut,CLINIC_24H
vayiru vali romba illa,CLINIC_24H
en ammaku high fever marundhu kekala,CLINIC_24H
loose motion and stomach pain,CLINIC_24H
enga husband mild cut,CLINIC_24H
body full pain,CLINIC_24H
kaichal varuthu 2 naal,CLINIC_24H
vayithu pokku,CLINIC_24H
thala vali severe,CLINIC_24H
en ponnu fever and vomiting,CLINIC_24H
stomach vali,CLINIC_24H
enga thatha thala vali,CLINIC_24H
mild fever and body pain,CLINIC_24H
cut in finger,CLINIC_24H
high juram but moochu illa,CLINIC_24H
en veetukararukku vayiru vali,CLINIC_24H
loose motion,CLINIC_24H
kaichal and weakness,CLINIC_24H
enga amma nethu irundhu stomach pain and loose motion eppo clinic poganum,CLINIC_24H
en payyanuku rendu naal fever marundhu saptum control aagala,CLINIC_24H
vayiru vali and 3 times motion,CLINIC_24H
enga appaku kai cut ratham varuthu,CLINIC_24H
high kaichal since morning,CLINIC_24H
en pondati loose stools,CLINIC_24H
mild stomach vali,CLINIC_24H
fever varuthu,CLINIC_24H
vayithu pokku repeat,CLINIC_24H
enga ponnu thala vali romba,CLINIC_24H
cut aagiduchu,CLINIC_24H
high juram 48 hours,CLINIC_24H
stomach pain continuous,CLINIC_24H
loose motion and vomiting,CLINIC_24H
enga husband body pain,CLINIC_24H
kaichal and thala vali,CLINIC_24H
en payyan mild cut,CLINIC_24H
vayiru vali,CLINIC_24H
fever since yesterday,CLINIC_24H
loose stools 4 times,CLINIC_24H
enga ammaku high fever,CLINIC_24H
stomach upset,CLINIC_24H
en thatha kaiyila vali,CLINIC_24H
thala vali and juram,CLINIC_24H
vayithu vali romba illa,CLINIC_24H
en veetukararukku loose motion,CLINIC_24H
body pain full,CLINIC_24H
enga ponnu cut in hand,CLINIC_24H
high kaichal,CLINIC_24H
vayiru vali and motion,CLINIC_24H
en husband fever 2 days,CLINIC_24H
enga appa mild juram,CLINIC_24H
kai cut,CLINIC_24H
en amma vayiru vali,CLINIC_24H
high fever marundhu kekala,CLINIC_24H
loose motion since morning,CLINIC_24H
en payyan body pain,CLINIC_24H
kaichal and cough,CLINIC_24H
enga thathaku stomach vali,CLINIC_24H
mild cut,CLINIC_24H
fever and weakness,CLINIC_24H
loose stools repeat,CLINIC_24H
high juram,CLINIC_24H
vayiru vali mild,CLINIC_24H
enga ammaku nethu irundhu kaichal and thala vali romba doctor ku poga num,CLINIC_24H
en payyanuku loose motion and mild fever,CLINIC_24H
stomach pain since 2 days,CLINIC_24H
kaiyila cut ratham,CLINIC_24H
enga appaku high kaichal,CLINIC_24H
body full ah pain,CLINIC_24H
en ponnu mild juram,CLINIC_24H
cut in leg,CLINIC_24H
fever marundhu saptum illa,CLINIC_24H
enga husband vayiru vali,CLINIC_24H
en amma stomach pain,CLINIC_24H
high fever 3 days,CLINIC_24H
enga thatha mild cut,CLINIC_24H
body pain and fever,CLINIC_24H
thala vali severe illa,CLINIC_24H
vayiru vali romba,CLINIC_24H
fever since morning,CLINIC_24H
en payyan cut in hand,CLINIC_24H
